File Name,Count of 0,Count of 1,Count of 2
2024-07-01.csv,6,71,2
2024-07-02.csv,1,21,1
2024-07-03.csv,3,68,0
2024-07-04.csv,10,66,5
2024-07-05.csv,13,51,4
2024-07-06.csv,0,1,0
2024-07-07.csv,9,73,3
2024-07-08.csv,1,3,0
2024-07-09.csv,1,67,0
2024-07-10.csv,6,55,4
2024-07-11.csv,10,71,4
2024-07-12.csv,3,82,2
2024-07-13.csv,10,63,1
2024-07-14.csv,10,66,2
2024-07-15.csv,7,63,1
2024-07-16.csv,15,64,2
2024-07-17.csv,3,77,2
2024-07-18.csv,7,72,3
2024-07-19.csv,6,72,4
2024-07-20.csv,1,44,0
2024-07-21.csv,6,74,1
2024-07-22.csv,2,30,0
2024-07-23.csv,5,76,1
2024-07-24.csv,6,70,1
2024-07-25.csv,10,74,1
2024-07-26.csv,4,76,0
2024-07-27.csv,3,63,1
2024-07-28.csv,2,43,2
2024-07-29.csv,5,69,2
