Fecha,Count_of_0,Count_of_1,Count_of_2
2024-07-01,6,71,2
2024-07-02,1,21,1
2024-07-03,3,68,0
2024-07-04,10,66,5
2024-07-05,13,51,4
2024-07-06,0,1,0
2024-07-07,9,73,3
2024-07-08,1,3,0
2024-07-09,1,67,0
2024-07-10,6,55,4
2024-07-11,10,71,4
2024-07-12,3,82,2
2024-07-13,10,63,1
2024-07-14,10,66,2
2024-07-15,7,63,1
2024-07-16,15,64,2
2024-07-17,3,77,2
2024-07-18,7,72,3
2024-07-19,6,72,4
2024-07-20,1,44,0
2024-07-21,6,74,1
2024-07-22,2,30,0
2024-07-23,5,76,1
2024-07-24,6,70,1
2024-07-25,10,74,1
2024-07-26,4,76,0
2024-07-27,3,63,1
2024-07-28,2,43,2
2024-07-29,5,69,2
