Setmana,bitcoin: (Arreu del món)
2023-08-06,32
2023-08-13,38
2023-08-20,36
2023-08-27,35
2023-09-03,31
2023-09-10,31
2023-09-17,30
2023-09-24,28
2023-10-01,31
2023-10-08,30
2023-10-15,35
2023-10-22,50
2023-10-29,40
2023-11-05,43
2023-11-12,41
2023-11-19,40
2023-11-26,38
2023-12-03,59
2023-12-10,48
2023-12-17,43
2023-12-24,43
2023-12-31,55
2024-01-07,83
2024-01-14,49
2024-01-21,43
2024-01-28,37
2024-02-04,38
2024-02-11,57
2024-02-18,44
2024-02-25,82
2024-03-03,100
2024-03-10,93
2024-03-17,76
2024-03-24,65
2024-03-31,57
2024-04-07,59
2024-04-14,82
2024-04-21,50
2024-04-28,51
2024-05-05,42
2024-05-12,41
2024-05-19,44
2024-05-26,37
2024-06-02,40
2024-06-09,38
2024-06-16,36
2024-06-23,38
2024-06-30,40
2024-07-07,41
2024-07-14,44
2024-07-21,45
2024-07-28,45
2024-08-04,63
2024-08-11,42
