Setmana,Creixement econòmic: (Arreu del món)
2019-08-25,84
2019-09-01,100
2019-09-08,87
2019-09-15,86
2019-09-22,88
2019-09-29,86
2019-10-06,85
2019-10-13,86
2019-10-20,87
2019-10-27,80
2019-11-03,84
2019-11-10,82
2019-11-17,77
2019-11-24,74
2019-12-01,87
2019-12-08,67
2019-12-15,57
2019-12-22,36
2019-12-29,38
2020-01-05,53
2020-01-12,60
2020-01-19,61
2020-01-26,63
2020-02-02,70
2020-02-09,78
2020-02-16,78
2020-02-23,79
2020-03-01,74
2020-03-08,65
2020-03-15,62
2020-03-22,70
2020-03-29,63
2020-04-05,60
2020-04-12,71
2020-04-19,78
2020-04-26,76
2020-05-03,75
2020-05-10,74
2020-05-17,69
2020-05-24,69
2020-05-31,73
2020-06-07,61
2020-06-14,48
2020-06-21,45
2020-06-28,45
2020-07-05,39
2020-07-12,41
2020-07-19,36
2020-07-26,35
2020-08-02,38
2020-08-09,40
2020-08-16,35
2020-08-23,41
2020-08-30,59
2020-09-06,52
2020-09-13,54
2020-09-20,55
2020-09-27,50
2020-10-04,52
2020-10-11,52
2020-10-18,51
2020-10-25,47
2020-11-01,44
2020-11-08,46
2020-11-15,44
2020-11-22,38
2020-11-29,51
2020-12-06,46
2020-12-13,43
2020-12-20,30
2020-12-27,26
2021-01-03,40
2021-01-10,46
2021-01-17,58
2021-01-24,55
2021-01-31,52
2021-02-07,52
2021-02-14,38
2021-02-21,36
2021-02-28,51
2021-03-07,61
2021-03-14,65
2021-03-21,63
2021-03-28,56
2021-04-04,60
2021-04-11,61
2021-04-18,63
2021-04-25,68
2021-05-02,63
2021-05-09,58
2021-05-16,58
2021-05-23,61
2021-05-30,60
2021-06-06,60
2021-06-13,55
2021-06-20,49
2021-06-27,43
2021-07-04,43
2021-07-11,43
2021-07-18,42
2021-07-25,42
2021-08-01,42
2021-08-08,43
2021-08-15,47
2021-08-22,48
2021-08-29,52
2021-09-05,38
2021-09-12,53
2021-09-19,52
2021-09-26,50
2021-10-03,51
2021-10-10,50
2021-10-17,59
2021-10-24,62
2021-10-31,48
2021-11-07,66
2021-11-14,67
2021-11-21,64
2021-11-28,75
2021-12-05,69
2021-12-12,62
2021-12-19,42
2021-12-26,34
2022-01-02,52
2022-01-09,64
2022-01-16,68
2022-01-23,79
2022-01-30,74
2022-02-06,76
2022-02-13,90
2022-02-20,89
2022-02-27,91
2022-03-06,94
2022-03-13,92
2022-03-20,85
2022-03-27,89
2022-04-03,82
2022-04-10,73
2022-04-17,88
2022-04-24,90
2022-05-01,55
2022-05-08,65
2022-05-15,57
2022-05-22,52
2022-05-29,54
2022-06-05,72
2022-06-12,60
2022-06-19,58
2022-06-26,49
2022-07-03,45
2022-07-10,52
2022-07-17,46
2022-07-24,49
2022-07-31,57
2022-08-07,47
2022-08-14,51
2022-08-21,58
2022-08-28,75
2022-09-04,75
2022-09-11,71
2022-09-18,59
2022-09-25,56
2022-10-02,53
2022-10-09,51
2022-10-16,56
2022-10-23,49
2022-10-30,53
2022-11-06,58
2022-11-13,54
2022-11-20,49
2022-11-27,54
2022-12-04,54
2022-12-11,45
2022-12-18,31
2022-12-25,24
2023-01-01,28
2023-01-08,41
2023-01-15,40
2023-01-22,40
2023-01-29,47
2023-02-05,49
2023-02-12,45
2023-02-19,48
2023-02-26,54
2023-03-05,59
2023-03-12,56
2023-03-19,46
2023-03-26,50
2023-04-02,44
2023-04-09,45
2023-04-16,44
2023-04-23,46
2023-04-30,47
2023-05-07,51
2023-05-14,54
2023-05-21,52
2023-05-28,49
2023-06-04,51
2023-06-11,41
2023-06-18,38
2023-06-25,30
2023-07-02,28
2023-07-09,27
2023-07-16,24
2023-07-23,29
2023-07-30,27
2023-08-06,27
2023-08-13,26
2023-08-20,30
2023-08-27,35
2023-09-03,39
2023-09-10,45
2023-09-17,46
2023-09-24,47
2023-10-01,46
2023-10-08,44
2023-10-15,44
2023-10-22,44
2023-10-29,40
2023-11-05,39
2023-11-12,39
2023-11-19,36
2023-11-26,44
2023-12-03,43
2023-12-10,38
2023-12-17,26
2023-12-24,17
2023-12-31,20
2024-01-07,29
2024-01-14,34
2024-01-21,37
2024-01-28,40
2024-02-04,37
2024-02-11,37
2024-02-18,40
2024-02-25,37
2024-03-03,38
2024-03-10,39
2024-03-17,44
2024-03-24,36
2024-03-31,37
2024-04-07,38
2024-04-14,44
2024-04-21,45
2024-04-28,41
2024-05-05,40
2024-05-12,41
2024-05-19,37
2024-05-26,40
2024-06-02,37
2024-06-09,32
2024-06-16,27
2024-06-23,26
2024-06-30,24
2024-07-07,24
2024-07-14,25
2024-07-21,27
2024-07-28,25
2024-08-04,25
2024-08-11,24
2024-08-18,29
2024-08-25,27
