Dia,Criptomoneda: (Arreu del món)
2024-04-22,87
2024-04-23,83
2024-04-24,87
2024-04-25,78
2024-04-26,76
2024-04-27,77
2024-04-28,80
2024-04-29,77
2024-04-30,82
2024-05-01,81
2024-05-02,75
2024-05-03,73
2024-05-04,70
2024-05-05,69
2024-05-06,74
2024-05-07,73
2024-05-08,70
2024-05-09,71
2024-05-10,72
2024-05-11,65
2024-05-12,63
2024-05-13,71
2024-05-14,74
2024-05-15,77
2024-05-16,82
2024-05-17,76
2024-05-18,75
2024-05-19,70
2024-05-20,85
2024-05-21,94
2024-05-22,89
2024-05-23,85
2024-05-24,78
2024-05-25,78
2024-05-26,84
2024-05-27,96
2024-05-28,97
2024-05-29,92
2024-05-30,83
2024-05-31,76
2024-06-01,74
2024-06-02,79
2024-06-03,85
2024-06-04,89
2024-06-05,100
2024-06-06,87
2024-06-07,91
2024-06-08,88
2024-06-09,79
2024-06-10,77
2024-06-11,88
2024-06-12,81
2024-06-13,77
2024-06-14,79
2024-06-15,76
2024-06-16,67
2024-06-17,77
2024-06-18,86
2024-06-19,74
2024-06-20,75
2024-06-21,69
2024-06-22,66
2024-06-23,64
2024-06-24,75
2024-06-25,70
2024-06-26,69
2024-06-27,68
2024-06-28,67
2024-06-29,60
2024-06-30,59
2024-07-01,64
2024-07-02,66
2024-07-03,69
2024-07-04,78
2024-07-05,84
2024-07-06,68
2024-07-07,70
2024-07-08,71
2024-07-09,75
2024-07-10,71
2024-07-11,67
2024-07-12,63
2024-07-13,64
2024-07-14,79
2024-07-15,74
2024-07-16,76
2024-07-17,77
2024-07-18,78
2024-07-19,90
2024-07-20,82
2024-07-21,84
2024-07-22,83
