Setmana,apple: (Arreu del món)
2019-08-18,33
2019-08-25,51
2019-09-01,100
2019-09-08,98
2019-09-15,86
2019-09-22,62
2019-09-29,40
2019-10-06,40
2019-10-13,40
2019-10-20,38
2019-10-27,39
2019-11-03,38
2019-11-10,40
2019-11-17,39
2019-11-24,52
2019-12-01,42
2019-12-08,37
2019-12-15,41
2019-12-22,47
2019-12-29,40
2020-01-05,36
2020-01-12,35
2020-01-19,34
2020-01-26,33
2020-02-02,32
2020-02-09,32
2020-02-16,32
2020-02-23,31
2020-03-01,31
2020-03-08,31
2020-03-15,31
2020-03-22,32
2020-03-29,33
2020-04-05,34
2020-04-12,38
2020-04-19,39
2020-04-26,39
2020-05-03,37
2020-05-10,36
2020-05-17,37
2020-05-24,36
2020-05-31,35
2020-06-07,35
2020-06-14,36
2020-06-21,40
2020-06-28,36
2020-07-05,37
2020-07-12,38
2020-07-19,36
2020-07-26,35
2020-08-02,39
2020-08-09,39
2020-08-16,39
2020-08-23,39
2020-08-30,43
2020-09-06,41
2020-09-13,57
2020-09-20,48
2020-09-27,42
2020-10-04,41
2020-10-11,55
2020-10-18,42
2020-10-25,40
2020-11-01,38
2020-11-08,44
2020-11-15,40
2020-11-22,51
2020-11-29,45
2020-12-06,41
2020-12-13,42
2020-12-20,47
2020-12-27,44
2021-01-03,38
2021-01-10,37
2021-01-17,37
2021-01-24,37
2021-01-31,36
2021-02-07,33
2021-02-14,33
2021-02-21,33
2021-02-28,33
2021-03-07,32
2021-03-14,32
2021-03-21,31
2021-03-28,33
2021-04-04,31
2021-04-11,31
2021-04-18,35
2021-04-25,35
2021-05-02,35
2021-05-09,33
2021-05-16,32
2021-05-23,33
2021-05-30,34
2021-06-06,35
2021-06-13,33
2021-06-20,34
2021-06-27,32
2021-07-04,31
2021-07-11,33
2021-07-18,33
2021-07-25,33
2021-08-01,35
2021-08-08,35
2021-08-15,33
2021-08-22,35
2021-08-29,36
2021-09-05,36
2021-09-12,55
2021-09-19,44
2021-09-26,43
2021-10-03,42
2021-10-10,42
2021-10-17,44
2021-10-24,38
2021-10-31,39
2021-11-07,40
2021-11-14,41
2021-11-21,50
2021-11-28,45
2021-12-05,42
2021-12-12,41
2021-12-19,45
2021-12-26,46
2022-01-02,44
2022-01-09,41
2022-01-16,38
2022-01-23,38
2022-01-30,39
2022-02-06,37
2022-02-13,36
2022-02-20,35
2022-02-27,35
2022-03-06,39
2022-03-13,35
2022-03-20,36
2022-03-27,34
2022-04-03,34
2022-04-10,34
2022-04-17,34
2022-04-24,35
2022-05-01,34
2022-05-08,34
2022-05-15,33
2022-05-22,34
2022-05-29,33
2022-06-05,38
2022-06-12,33
2022-06-19,36
2022-06-26,34
2022-07-03,36
2022-07-10,38
2022-07-17,36
2022-07-24,36
2022-07-31,37
2022-08-07,38
2022-08-14,40
2022-08-21,39
2022-08-28,38
2022-09-04,58
2022-09-11,49
2022-09-18,47
2022-09-25,46
2022-10-02,43
2022-10-09,42
2022-10-16,43
2022-10-23,40
2022-10-30,42
2022-11-06,39
2022-11-13,41
2022-11-20,46
2022-11-27,42
2022-12-04,38
2022-12-11,39
2022-12-18,40
2022-12-25,47
2023-01-01,40
2023-01-08,38
2023-01-15,37
2023-01-22,37
2023-01-29,36
2023-02-05,36
2023-02-12,36
2023-02-19,36
2023-02-26,34
2023-03-05,34
2023-03-12,32
2023-03-19,35
2023-03-26,36
2023-04-02,34
2023-04-09,33
2023-04-16,35
2023-04-23,33
2023-04-30,35
2023-05-07,33
2023-05-14,33
2023-05-21,33
2023-05-28,33
2023-06-04,46
2023-06-11,36
2023-06-18,36
2023-06-25,35
2023-07-02,37
2023-07-09,39
2023-07-16,38
2023-07-23,36
2023-07-30,37
2023-08-06,37
2023-08-13,37
2023-08-20,35
2023-08-27,37
2023-09-03,37
2023-09-10,57
2023-09-17,48
2023-09-24,46
2023-10-01,43
2023-10-08,42
2023-10-15,39
2023-10-22,39
2023-10-29,40
2023-11-05,39
2023-11-12,39
2023-11-19,47
2023-11-26,43
2023-12-03,38
2023-12-10,39
2023-12-17,39
2023-12-24,43
2023-12-31,41
2024-01-07,38
2024-01-14,38
2024-01-21,39
2024-01-28,39
2024-02-04,46
2024-02-11,40
2024-02-18,38
2024-02-25,38
2024-03-03,38
2024-03-10,37
2024-03-17,37
2024-03-24,38
2024-03-31,36
2024-04-07,37
2024-04-14,35
2024-04-21,36
2024-04-28,38
2024-05-05,39
2024-05-12,36
2024-05-19,36
2024-05-26,36
2024-06-02,37
2024-06-09,43
2024-06-16,39
2024-06-23,36
2024-06-30,37
2024-07-07,36
2024-07-14,38
2024-07-21,38
2024-07-28,37
2024-08-04,38
2024-08-11,40
2024-08-18,40
